HP	42.337549	38.1037941	33.8700392
ATK	21.168773	19.0518957	16.9350184
DEF	21.168773	19.0518957	16.9350184
HP	0.04320000065	0.03888000059	0.03456000052
ATK	0.04320000065	0.03888000059	0.03456000052
DEF	0.05399999977	0.04859999979	0.04319999982
SPD	2.600000001	2.3	2
CRIT Rate	0.03240000084	0.02916000076	0.02592000067
CRIT DMG	0.06480000168	0.05832000151	0.05184000134
Effect Hit Rate	0.04320000065	0.03888000059	0.03456000052
Effect RES	0.04320000065	0.03888000059	0.03456000052
Break Effect	0.06480000168	0.05832000151	0.05184000134
