600441727,Firefly,32952.44217030439
600441727,Dan Heng • Imbibitor Lunae,27829.81021261969
600441727,Firefly,32952.44217030439
600441727,Dan Heng • Imbibitor Lunae,27829.81021261969
702462688,Firefly,79478.47798430666
700850571,Firefly,0.0
700920040,Dan Heng • Imbibitor Lunae,48938.30829525498
802656936,Dan Heng • Imbibitor Lunae,29957.91253071527
603283509,Dan Heng • Imbibitor Lunae,56357.162711518686
603283509,Seele,57497.310742456815
600574027,Seele,67804.54688820259
600574027,Dan Heng • Imbibitor Lunae,62474.54728406266
105177941,The Herta,82786.98969299663
604946466,The Herta,76198.68241043153
105253591,Seele,0.0
600355703,Firefly,70397.70876888804
115512837,Dan Heng • Imbibitor Lunae,54855.57745324008
603038525,Dan Heng • Imbibitor Lunae,41547.163800760085
815590475,Dan Heng • Imbibitor Lunae,66566.85486019775
112643444,Firefly,86213.86261990528
700444407,Feixiao,68042.37781291104
700444407,Firefly,68093.8626937738
700031788,Dan Heng • Imbibitor Lunae,23380.57715127979
108279067,Seele,73558.89942939908
102007956,Seele,61677.8871169043
602060452,Seele,71423.93168711395
102759671,Dan Heng • Imbibitor Lunae,68241.38460655136
700439076,Dan Heng • Imbibitor Lunae,64145.53041222946
700439076,Seele,54012.23940389567
601309522,Firefly,79106.93956060846
602529384,Seele,10344.704666069238
108827401,Firefly,71461.55483141681
108827401,The Herta,70055.45142532559
800029463,Firefly,86905.400913522
700716849,Feixiao,73300.22398564269
700716849,The Herta,76574.68223416121
700716849,Firefly,82985.40109964358
111217980,Seele,59963.008594520295
115079191,Seele,64593.00855023659
600288997,Firefly,76598.4779610042
600288997,The Herta,75505.45155564995
600288997,Feixiao,71881.6086312941
700467545,Firefly,86633.093343943
701046053,Seele,10892.280679787958
601541779,The Herta,59985.451989743844
119101303,Dan Heng • Imbibitor Lunae,24992.35742885047
701245962,Seele,26986.291917700102
701024654,Firefly,75386.17031733034
701024654,Seele,58558.31837108478
809893088,Seele,12756.85957208855
100205879,Feixiao,74597.3667822116
100205879,The Herta,66837.1441693005
